"country","year","nb_event","mediane_nb_conflit","dummy_sup_mediane","decile_nb_event","iso3"
"Algeria",1995,394,91.5,1,10,"DZA"
"Algeria",1996,123,91.5,1,6,"DZA"
"Algeria",1997,128,91.5,1,7,"DZA"
"Algeria",1998,383,91.5,1,10,"DZA"
"Algeria",1999,226,91.5,1,9,"DZA"
"Algeria",2000,252,91.5,1,10,"DZA"
"Algeria",2001,80,91.5,0,5,"DZA"
"Algeria",2002,225,91.5,1,9,"DZA"
"Algeria",2003,209,91.5,1,8,"DZA"
"Algeria",2004,219,91.5,1,9,"DZA"
"Algeria",2005,72,91.5,0,4,"DZA"
"Algeria",2006,91,91.5,0,5,"DZA"
"Algeria",2007,128,91.5,1,8,"DZA"
"Algeria",2008,111,91.5,1,6,"DZA"
"Algeria",2009,191,91.5,1,8,"DZA"
"Algeria",2010,92,91.5,1,6,"DZA"
"Algeria",2011,125,91.5,1,7,"DZA"
"Algeria",2012,124,91.5,1,7,"DZA"
"Algeria",2013,73,91.5,0,5,"DZA"
"Algeria",2014,43,91.5,0,4,"DZA"
"Algeria",2015,46,91.5,0,4,"DZA"
"Algeria",2016,27,91.5,0,3,"DZA"
"Algeria",2017,26,91.5,0,3,"DZA"
"Algeria",2018,10,91.5,0,2,"DZA"
"Algeria",2019,9,91.5,0,2,"DZA"
"Algeria",2020,17,91.5,0,3,"DZA"
"Algeria",2021,6,91.5,0,2,"DZA"
"Algeria",2022,3,91.5,0,1,"DZA"
"Algeria",2023,1,91.5,0,1,"DZA"
"Algeria",2024,1,91.5,0,1,"DZA"
"Angola",1995,76,17,1,9,"AGO"
"Angola",1996,28,17,1,7,"AGO"
"Angola",1997,35,17,1,8,"AGO"
"Angola",1998,110,17,1,9,"AGO"
"Angola",1999,245,17,1,10,"AGO"
"Angola",2000,130,17,1,10,"AGO"
"Angola",2001,124,17,1,9,"AGO"
"Angola",2002,69,17,1,8,"AGO"
"Angola",2003,37,17,1,8,"AGO"
"Angola",2004,19,17,1,6,"AGO"
"Angola",2005,13,17,0,5,"AGO"
"Angola",2006,12,17,0,5,"AGO"
"Angola",2007,22,17,1,6,"AGO"
"Angola",2008,9,17,0,3,"AGO"
"Angola",2009,9,17,0,4,"AGO"
"Angola",2010,4,17,0,2,"AGO"
"Angola",2011,2,17,0,1,"AGO"
"Angola",2013,1,17,0,1,"AGO"
"Angola",2014,6,17,0,3,"AGO"
"Angola",2015,2,17,0,2,"AGO"
"Angola",2016,18,17,1,6,"AGO"
"Angola",2017,24,17,1,7,"AGO"
"Angola",2018,6,17,0,3,"AGO"
"Angola",2019,11,17,0,4,"AGO"
"Angola",2020,26,17,1,7,"AGO"
"Angola",2021,4,17,0,2,"AGO"
"Angola",2022,17,17,1,5,"AGO"
"Angola",2023,1,17,0,1,"AGO"
"Angola",2024,10,17,0,4,"AGO"
"Benin",2019,1,7,0,1,"BEN"
"Benin",2020,1,7,0,2,"BEN"
"Benin",2021,6,7,0,3,"BEN"
"Benin",2022,8,7,1,4,"BEN"
"Benin",2023,20,7,1,5,"BEN"
"Benin",2024,29,7,1,6,"BEN"
"Burkina Faso",2016,2,191,0,1,"BFA"
"Burkina Faso",2017,27,191,0,2,"BFA"
"Burkina Faso",2018,65,191,0,3,"BFA"
"Burkina Faso",2019,222,191,1,6,"BFA"
"Burkina Faso",2020,166,191,0,4,"BFA"
"Burkina Faso",2021,191,191,1,5,"BFA"
"Burkina Faso",2022,237,191,1,7,"BFA"
"Burkina Faso",2023,599,191,1,9,"BFA"
"Burkina Faso",2024,307,191,1,8,"BFA"
"Burundi",1995,126,55,1,8,"BDI"
"Burundi",1996,188,55,1,8,"BDI"
"Burundi",1997,200,55,1,9,"BDI"
"Burundi",1998,122,55,1,7,"BDI"
"Burundi",1999,200,55,1,9,"BDI"
"Burundi",2000,250,55,1,10,"BDI"
"Burundi",2001,188,55,1,8,"BDI"
"Burundi",2002,239,55,1,10,"BDI"
"Burundi",2003,208,55,1,9,"BDI"
"Burundi",2004,89,55,1,7,"BDI"
"Burundi",2005,120,55,1,7,"BDI"
"Burundi",2006,55,55,1,5,"BDI"
"Burundi",2007,25,55,0,2,"BDI"
"Burundi",2008,48,55,0,4,"BDI"
"Burundi",2009,3,55,0,1,"BDI"
"Burundi",2011,6,55,0,1,"BDI"
"Burundi",2012,7,55,0,1,"BDI"
"Burundi",2013,7,55,0,2,"BDI"
"Burundi",2014,9,55,0,2,"BDI"
"Burundi",2015,42,55,0,3,"BDI"
"Burundi",2016,75,55,1,6,"BDI"
"Burundi",2017,43,55,0,4,"BDI"
"Burundi",2018,60,55,1,6,"BDI"
"Burundi",2019,51,55,0,5,"BDI"
"Burundi",2020,78,55,1,6,"BDI"
"Burundi",2021,50,55,0,5,"BDI"
"Burundi",2022,42,55,0,3,"BDI"
"Burundi",2023,39,55,0,3,"BDI"
"Burundi",2024,49,55,0,4,"BDI"
"Cameroon",1996,3,56.5,0,3,"CMR"
"Cameroon",1998,4,56.5,0,4,"CMR"
"Cameroon",2000,4,56.5,0,5,"CMR"
"Cameroon",2001,2,56.5,0,3,"CMR"
"Cameroon",2004,1,56.5,0,1,"CMR"
"Cameroon",2005,3,56.5,0,4,"CMR"
"Cameroon",2008,1,56.5,0,1,"CMR"
"Cameroon",2009,1,56.5,0,2,"CMR"
"Cameroon",2013,1,56.5,0,2,"CMR"
"Cameroon",2014,51,56.5,0,5,"CMR"
"Cameroon",2015,62,56.5,1,6,"CMR"
"Cameroon",2016,97,56.5,1,6,"CMR"
"Cameroon",2017,138,56.5,1,7,"CMR"
"Cameroon",2018,253,56.5,1,9,"CMR"
"Cameroon",2019,248,56.5,1,8,"CMR"
"Cameroon",2020,261,56.5,1,9,"CMR"
"Cameroon",2021,278,56.5,1,10,"CMR"
"Cameroon",2022,225,56.5,1,8,"CMR"
"Cameroon",2023,294,56.5,1,10,"CMR"
"Cameroon",2024,193,56.5,1,7,"CMR"
"Central African Republic",1999,1,49.5,0,1,"CAF"
"Central African Republic",2000,1,49.5,0,1,"CAF"
"Central African Republic",2001,21,49.5,0,3,"CAF"
"Central African Republic",2002,14,49.5,0,3,"CAF"
"Central African Republic",2003,5,49.5,0,2,"CAF"
"Central African Republic",2004,3,49.5,0,1,"CAF"
"Central African Republic",2005,6,49.5,0,2,"CAF"
"Central African Republic",2006,42,49.5,0,4,"CAF"
"Central African Republic",2007,23,49.5,0,3,"CAF"
"Central African Republic",2008,5,49.5,0,2,"CAF"
"Central African Republic",2009,61,49.5,1,5,"CAF"
"Central African Republic",2010,43,49.5,0,5,"CAF"
"Central African Republic",2011,23,49.5,0,4,"CAF"
"Central African Republic",2012,31,49.5,0,4,"CAF"
"Central African Republic",2013,186,49.5,1,9,"CAF"
"Central African Republic",2014,461,49.5,1,10,"CAF"
"Central African Republic",2015,150,49.5,1,8,"CAF"
"Central African Republic",2016,70,49.5,1,6,"CAF"
"Central African Republic",2017,222,49.5,1,10,"CAF"
"Central African Republic",2018,88,49.5,1,7,"CAF"
"Central African Republic",2019,64,49.5,1,6,"CAF"
"Central African Republic",2020,56,49.5,1,5,"CAF"
"Central African Republic",2021,167,49.5,1,9,"CAF"
"Central African Republic",2022,105,49.5,1,8,"CAF"
"Central African Republic",2023,86,49.5,1,6,"CAF"
"Central African Republic",2024,92,49.5,1,7,"CAF"
"Chad",1995,17,12,1,7,"TCD"
"Chad",1996,3,12,0,1,"TCD"
"Chad",1997,8,12,0,3,"TCD"
"Chad",1998,9,12,0,4,"TCD"
"Chad",1999,12,12,1,5,"TCD"
